ASIN,ACCOUNT,SKU,Mapped SKU,2025 - Sales,2025 - Order,2026 - sales,2026 - order
B084RC5DQG,Ledsone,LASGSABL+LSFRYBS,LSGD280AR+SCRN70YB,0,0,0,0
B0GY3G4S1F,DCvoltage,LSGL7512CL3PK+RPM40WH3PK,LSGL1275CL3PK+RPM40WH3PK,0,0,21.89,1
B0GY423LQJ,DCvoltage,LSGL9015CL2PK+RPM40WH2PK,,0,0,25.78,2
B0H38YJTN8,DCvoltage,LSGL9015GY2PK+RPM40WH2PK,,0,0,94.45,4
B0H393YSKV,DCvoltage,LSGL9015GY3PK+RPM40WH3PK,,0,0,57.78,2
B0H3918NPV,DCvoltage,LSGL9015GY5PK+RPM40WH5PK,,0,0,45.89,1
B0D9Q142ZZ,Ledsone,LSGLBC150CO2PK,LSGLBG145AR+RPM40WH,0,0,0,0
