asin,source_selected_image_url,html_image_url,valid_listing_rows,distinct_image_count,result
B0C9X1WW8H,https://m.media-amazon.com/images/I/71ZJ13eXmeL.jpg,https://m.media-amazon.com/images/I/71ZJ13eXmeL.jpg,1,1,PASS
B0C9X28TYN,https://m.media-amazon.com/images/I/61wRLOAttkL.jpg,https://m.media-amazon.com/images/I/61wRLOAttkL.jpg,1,1,PASS
B0C9X2D3C5,https://m.media-amazon.com/images/I/5157C-wWStL.jpg,https://m.media-amazon.com/images/I/5157C-wWStL.jpg,1,1,PASS
B0C9X2SN8P,https://m.media-amazon.com/images/I/51GJ2FlR-nL.jpg,https://m.media-amazon.com/images/I/51GJ2FlR-nL.jpg,1,1,PASS
B0C9X3BDL4,https://m.media-amazon.com/images/I/513FGOD9bjL.jpg,https://m.media-amazon.com/images/I/513FGOD9bjL.jpg,1,1,PASS
B0C9X4ZXZ6,https://m.media-amazon.com/images/I/41gFHMNMKGL.jpg,https://m.media-amazon.com/images/I/41gFHMNMKGL.jpg,1,1,PASS
B0C9X57647,https://m.media-amazon.com/images/I/41qK-J0qoSL.jpg,https://m.media-amazon.com/images/I/41qK-J0qoSL.jpg,1,1,PASS
B0C9X636L3,https://m.media-amazon.com/images/I/414sdBN8NqL.jpg,https://m.media-amazon.com/images/I/414sdBN8NqL.jpg,1,1,PASS
B0C9X67GZJ,https://m.media-amazon.com/images/I/71NCJReJ9qL.jpg,https://m.media-amazon.com/images/I/71NCJReJ9qL.jpg,1,1,PASS
B0C9X6LZLJ,https://m.media-amazon.com/images/I/61XEVl0PpWL.jpg,https://m.media-amazon.com/images/I/61XEVl0PpWL.jpg,1,1,PASS
B0C9X78PBJ,https://m.media-amazon.com/images/I/21uKDNtiuRL.jpg,https://m.media-amazon.com/images/I/21uKDNtiuRL.jpg,1,1,PASS
B0C9X7CFC9,https://m.media-amazon.com/images/I/51UgPz8vicL.jpg,https://m.media-amazon.com/images/I/51UgPz8vicL.jpg,1,1,PASS
B0C9X7QM92,https://m.media-amazon.com/images/I/512p6FFj4HL.jpg,https://m.media-amazon.com/images/I/512p6FFj4HL.jpg,1,1,PASS
B0C9X7W5BZ,https://m.media-amazon.com/images/I/61Gm47dcx9L.jpg,https://m.media-amazon.com/images/I/61Gm47dcx9L.jpg,1,1,PASS
B0C9X8DFVX,https://m.media-amazon.com/images/I/21pYBQJ4hDL.jpg,https://m.media-amazon.com/images/I/21pYBQJ4hDL.jpg,1,1,PASS
B0CB1KJ3XJ,https://m.media-amazon.com/images/I/419uwi4Z+6L.jpg,https://m.media-amazon.com/images/I/419uwi4Z+6L.jpg,1,1,PASS
B0CB1Q1X9G,https://m.media-amazon.com/images/I/41R6dCxOy9L.jpg,https://m.media-amazon.com/images/I/41R6dCxOy9L.jpg,2,2,PASS
B0CB32238W,https://m.media-amazon.com/images/I/41O1K3go7hL.jpg,https://m.media-amazon.com/images/I/41O1K3go7hL.jpg,1,1,PASS
B0CB38CYL6,https://m.media-amazon.com/images/I/21SiQ4ZTfTL.jpg,https://m.media-amazon.com/images/I/21SiQ4ZTfTL.jpg,1,1,PASS
B0CB3B6NVZ,https://m.media-amazon.com/images/I/31aYZGNwV2L.jpg,https://m.media-amazon.com/images/I/31aYZGNwV2L.jpg,1,1,PASS
B0CB4MLVNZ,https://m.media-amazon.com/images/I/31FzmYjL6EL.jpg,https://m.media-amazon.com/images/I/31FzmYjL6EL.jpg,1,1,PASS
B0CB4NNTQ8,https://m.media-amazon.com/images/I/41QFLW45WOL.jpg,https://m.media-amazon.com/images/I/41QFLW45WOL.jpg,1,1,PASS
B0CB4P4XND,https://m.media-amazon.com/images/I/61F8VA7c0IL.jpg,https://m.media-amazon.com/images/I/61F8VA7c0IL.jpg,1,1,PASS
B0CB4P6RGN,https://m.media-amazon.com/images/I/21VSrDBD++L.jpg,https://m.media-amazon.com/images/I/21VSrDBD++L.jpg,1,1,PASS
B0CB4QWMMZ,https://m.media-amazon.com/images/I/61iua1yfYFL.jpg,https://m.media-amazon.com/images/I/61iua1yfYFL.jpg,1,1,PASS
B0CB4RB8F6,https://m.media-amazon.com/images/I/21G0HC477NL.jpg,https://m.media-amazon.com/images/I/21G0HC477NL.jpg,1,1,PASS
B0CB4RR7VK,https://m.media-amazon.com/images/I/21TM3YnXWOL.jpg,https://m.media-amazon.com/images/I/21TM3YnXWOL.jpg,1,1,PASS
B0CB4TFDDN,https://m.media-amazon.com/images/I/41+2MO7YllL.jpg,https://m.media-amazon.com/images/I/41+2MO7YllL.jpg,1,1,PASS
B0CB89662N,https://m.media-amazon.com/images/I/41D5lrXn82L.jpg,https://m.media-amazon.com/images/I/41D5lrXn82L.jpg,1,1,PASS
B0CB89CBCQ,,,0,0,PASS
B0CB89RMST,https://m.media-amazon.com/images/I/714qNsp67yL.jpg,https://m.media-amazon.com/images/I/714qNsp67yL.jpg,1,1,PASS
B0CB8BKR7H,https://m.media-amazon.com/images/I/41zjbhbfxRL.jpg,https://m.media-amazon.com/images/I/41zjbhbfxRL.jpg,1,1,PASS
B0CB8BM598,https://m.media-amazon.com/images/I/51BLUdLaZuL.jpg,https://m.media-amazon.com/images/I/51BLUdLaZuL.jpg,1,1,PASS
B0CB8BV8GD,https://m.media-amazon.com/images/I/41UyD2r53vL.jpg,https://m.media-amazon.com/images/I/41UyD2r53vL.jpg,1,1,PASS
B0CB8BVNXR,https://m.media-amazon.com/images/I/7168X-rgtpL.jpg,https://m.media-amazon.com/images/I/7168X-rgtpL.jpg,1,1,PASS
B0CB8CC7YL,https://m.media-amazon.com/images/I/51jVWoaP93L.jpg,https://m.media-amazon.com/images/I/51jVWoaP93L.jpg,1,1,PASS
B0CB8CF2V3,https://m.media-amazon.com/images/I/31Pl-BrJfzL.jpg,https://m.media-amazon.com/images/I/31Pl-BrJfzL.jpg,1,1,PASS
B0CB8D5MMC,https://m.media-amazon.com/images/I/41ANwJg8p1L.jpg,https://m.media-amazon.com/images/I/41ANwJg8p1L.jpg,1,1,PASS
B0CB8F5RXR,https://m.media-amazon.com/images/I/314xmP70SuL.jpg,https://m.media-amazon.com/images/I/314xmP70SuL.jpg,2,2,PASS
B0CBBDLHBZ,https://m.media-amazon.com/images/I/61++0qCcEOL.jpg,https://m.media-amazon.com/images/I/61++0qCcEOL.jpg,1,1,PASS
B0CBBFL216,https://m.media-amazon.com/images/I/41zz0rkHSzL.jpg,https://m.media-amazon.com/images/I/41zz0rkHSzL.jpg,1,1,PASS
B0CBBFVZ5M,https://m.media-amazon.com/images/I/11XGKLKP-mL.jpg,https://m.media-amazon.com/images/I/11XGKLKP-mL.jpg,1,1,PASS
B0CBBGGWH5,https://m.media-amazon.com/images/I/217mxTj0kAL.jpg,https://m.media-amazon.com/images/I/217mxTj0kAL.jpg,1,1,PASS
B0CBBJWMKS,https://m.media-amazon.com/images/I/11Sv8dms9hL.jpg,https://m.media-amazon.com/images/I/11Sv8dms9hL.jpg,2,1,PASS
B0CBBXZ61N,https://m.media-amazon.com/images/I/41oEuEQiQBL.jpg,https://m.media-amazon.com/images/I/41oEuEQiQBL.jpg,1,1,PASS
B0CBBYF5QX,https://m.media-amazon.com/images/I/61VvrZ3dS+L.jpg,https://m.media-amazon.com/images/I/61VvrZ3dS+L.jpg,1,1,PASS
B0CBBZWLPY,https://m.media-amazon.com/images/I/41oEuEQiQBL.jpg,https://m.media-amazon.com/images/I/41oEuEQiQBL.jpg,1,1,PASS
B0CBC124VF,https://m.media-amazon.com/images/I/21PUC1rcNOL.jpg,https://m.media-amazon.com/images/I/21PUC1rcNOL.jpg,1,1,PASS
B0CBC1GDL6,,,0,0,PASS
B0CBC1M6KY,https://m.media-amazon.com/images/I/41R8wao6+lL.jpg,https://m.media-amazon.com/images/I/41R8wao6+lL.jpg,1,1,PASS
B0CBC1NT64,https://m.media-amazon.com/images/I/5196A9gFIuL.jpg,https://m.media-amazon.com/images/I/5196A9gFIuL.jpg,1,1,PASS
B0CBC1ZBTP,https://m.media-amazon.com/images/I/41E8oridfZL.jpg,https://m.media-amazon.com/images/I/41E8oridfZL.jpg,1,1,PASS
B0CBC22L4K,https://m.media-amazon.com/images/I/41nf0k12j2L.jpg,https://m.media-amazon.com/images/I/41nf0k12j2L.jpg,1,1,PASS
B0CBC2P2F2,,,0,0,PASS
B0CBC3Y2KJ,https://m.media-amazon.com/images/I/21YNz3LiriL.jpg,https://m.media-amazon.com/images/I/21YNz3LiriL.jpg,1,1,PASS
B0CBMNDNVX,https://m.media-amazon.com/images/I/41JIfZgNN+L.jpg,https://m.media-amazon.com/images/I/41JIfZgNN+L.jpg,2,1,PASS
B0CBQ1WG3C,https://m.media-amazon.com/images/I/2171RCaw0CL.jpg,https://m.media-amazon.com/images/I/2171RCaw0CL.jpg,1,1,PASS
