asin,source_vendor_sales,html_vendor_sales,vendor_sales_diff,source_vendor_units,html_vendor_units,vendor_units_diff,result
B08XNV9B1M,0,0,0,0,0,0,PASS
B08Y6RTRS2,0,0,0,0,0,0,PASS
B08Y6SS1H9,0,0,0,0,0,0,PASS
B08Y6TQL5M,0,0,0,0,0,0,PASS
B08Y6TQL5N,0,0,0,0,0,0,PASS
B08Y6VXLNS,0,0,0,0,0,0,PASS
B08Y6WJDV7,0,0,0,0,0,0,PASS
B08Y6WMBZK,0,0,0,0,0,0,PASS
B08Y6WMDTC,0,0,0,0,0,0,PASS
B08Y6X3H98,0,0,0,0,0,0,PASS
B08Y6X7RJG,0,0,0,0,0,0,PASS
B08Y6Y5SWS,0,0,0,0,0,0,PASS
B08Y6YGMRV,0,0,0,0,0,0,PASS
B08Y6YHHXV,0,0,0,0,0,0,PASS
B08Y6YVHT2,0,0,0,0,0,0,PASS
B08Y6ZML8S,0,0,0,0,0,0,PASS
B08Y72NF8M,0,0,0,0,0,0,PASS
B08Y96BVS2,0,0,0,0,0,0,PASS
B091B7NP2G,0,0,0,0,0,0,PASS
B093H8YG8Z,186.74,186.74,0,13,13,0,PASS
B093H9BJWL,0,0,0,0,0,0,PASS
B093H9DJK7,449.69,449.69,0,37,37,0,PASS
B093H9RYHF,0,0,0,0,0,0,PASS
B093HB4S7Y,61.62,61.62,0,5,5,0,PASS
B093HB7L5H,0,0,0,0,0,0,PASS
B093HBB279,54.55,54.55,0,5,5,0,PASS
B093HBMN1F,74.94,74.94,0,6,6,0,PASS
B093HBRKWJ,12.74,12.74,0,1,1,0,PASS
B093HBYFJQ,0,0,0,0,0,0,PASS
B093HC22CM,13.24,13.24,0,1,1,0,PASS
B093HC597P,0,0,0,0,0,0,PASS
B093HC837J,12.49,12.49,0,1,1,0,PASS
B093HCCL5S,24.98,24.98,0,2,2,0,PASS
B093HCLPM8,13.24,13.24,0,1,1,0,PASS
B093HCQGSL,92.68,92.68,0,7,7,0,PASS
B093HCRHG3,0,0,0,0,0,0,PASS
B093HCWPJZ,148.92,148.92,0,12,12,0,PASS
B093PW419Y,0,0,0,0,0,0,PASS
B093SYR9Y5,0,0,0,0,0,0,PASS
B093T1J82P,48,48,0,3,3,0,PASS
B093T26CQL,0,0,0,0,0,0,PASS
B093T2C59D,0,0,0,0,0,0,PASS
B093T2GXBF,0,0,0,0,0,0,PASS
B093T2HQF5,1776.15,1776.15,0,130,130,0,PASS
B093T2J5FZ,570.82,570.82,0,43,43,0,PASS
B093T2KLYL,224.15,224.15,0,30,30,0,PASS
B093T331FJ,32.92,32.92,0,3,3,0,PASS
B093T37BQ8,24.98,24.98,0,2,2,0,PASS
B093T38VGM,600.87,600.87,0,48,48,0,PASS
B093T3K5GN,0,0,0,0,0,0,PASS
B093T3N4SS,8.83,8.83,0,1,1,0,PASS
B093T3PN37,19.98,19.98,0,2,2,0,PASS
B093T3Q47R,3459.26,3459.26,0,457,457,0,PASS
B093T3R792,0,0,0,0,0,0,PASS
B093T3RDX3,0,0,0,0,0,0,PASS
B093T3RY5B,81.08,81.08,0,9,9,0,PASS
B093T3TR2Y,9637.04,9637.04,0,1142,1142,0,PASS
