exact_status,normalized_status,row_count,distinct_order_item_info,distinct_order_id,total_quantity,sum_item_price_times_qty,sum_order_total,earliest_order_date,latest_order_date,distinct_source_names,distinct_fba_sales_values,distinct_ss_name_count
june_2026,Completed,REPLACEMENT,234,234,537,0.00,0.00
june_2026,Completed,RESEND,7,7,355,0.00,0.00
june_2026,Completed,SHOPIFY,3835,3835,9258,107082.13,111227.25
june_2026,Completed,WAYFAIR,562,562,835,12739.66,12739.66
june_2026,Deleted,REPLACEMENT,4,4,6,0.00,0.00
june_2026,New,REPLACEMENT,2,2,3,0.00,0.00
june_2026,Pending,AMAZON,2,2,3,0.00,15.29
june_2026,Refunded,AMAZON,130,130,175,3324.80,584.34
june_2026,Refunded,B&Q,4,4,5,83.38,0.00
june_2026,Refunded,EBAY,140,140,220,2887.17,464.43
june_2026,Refunded,MANUAL OM,3,3,3,33.73,5.02
june_2026,Refunded,SHOPIFY,90,90,224,3052.57,1116.85
